company_id,company,industry,public_strength,hypothesis_id,question,baseline_metric,unit,observed_value,measurement_plan,formula,secondary_measurements,possible_contribution,acceptance_boundary,sources,status
aa-window-washing,AA Window Washing,Professional Services,Several exterior-cleaning services and seasonal lighting create a clear local service offering.,aa-window-washing-h1,Would a consistent property-and-service checklist shorten the time needed to prepare an accurate quote?,Median inquiry-to-owner-approved-quote time,hours,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A local quote-intake checklist flags missing window counts, access notes, service type and customer-supplied photos before human review.",Never estimate job safety or final pricing from an image; preserve owner site checks.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-aa-window-washing | http://aawindows.pro,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
aa-window-washing,AA Window Washing,Professional Services,Several exterior-cleaning services and seasonal lighting create a clear local service offering.,aa-window-washing-h2,Could grouping compatible visits by area reduce travel while preserving customer appointment windows?,Travel minutes per completed visit,minutes/visit,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,A spreadsheet compares the current route with owner-approved area clusters using anonymized locations and fixed visit windows.,Do not move bookings automatically; retain all jobs and service commitments.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-aa-window-washing | http://aawindows.pro,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
aa-window-washing,AA Window Washing,Professional Services,Several exterior-cleaning services and seasonal lighting create a clear local service offering.,aa-window-washing-h3,Would a seasonal equipment checklist reduce preventable return trips for missing supplies?,Supply-related return trips per completed job,trips/job,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,A service-specific pack-list and exception log covers cleaning equipment and seasonal lighting inventory.,A checklist does not replace equipment inspections or safe work practices.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-aa-window-washing | http://aawindows.pro,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
advia-solutions,AdVia Solutions,Other,Its stated approach connects development pathways with anonymized workforce insights.,advia-solutions-h1,Could a shared intake structure make development needs easier for a facilitator to review?,Facilitator preparation time per completed intake,minutes/intake,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"An owner-approved intake template groups volunteered goals and requested support, with an editable summary draft.","Do not infer employee performance, mental health or suitability for promotion.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-advia-solutions | https://adviasolutions.org,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
advia-solutions,AdVia Solutions,Other,Its stated approach connects development pathways with anonymized workforce insights.,advia-solutions-h2,Would a pathway inventory reveal requests that currently lack an appropriate learning resource?,Requests with a facilitator-confirmed pathway,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,A local resource map links owner-defined development topics to current materials and records unserved requests.,The facilitator selects the pathway; no automated employment decisions.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-advia-solutions | https://adviasolutions.org,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
advia-solutions,AdVia Solutions,Other,Its stated approach connects development pathways with anonymized workforce insights.,advia-solutions-h3,Could an aggregate-report check preserve useful patterns without exposing small groups?,Reports passing owner-defined aggregation rules on first review,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A synthetic-data checker flags small cells, unique combinations and missing denominators before a leadership report is shared.",Owner privacy review sets thresholds; no raw employee data enters the starter tool.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-advia-solutions | https://adviasolutions.org,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
aegiskeep,Aegiskeep,IT / Technology,"The public vault design makes document-specific, expiring access a central feature.",aegiskeep-h1,Could a metadata completeness check reduce manual preparation of a family document package?,Missing required metadata fields per test package,fields/package,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A synthetic document manifest checks owner-defined document types, dates and version labels without reading document contents.","No real financial, medical or legal documents; no judgment about legal sufficiency.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-aegiskeep | https://aegiskeep.com | https://www.aegiskeep.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
aegiskeep,Aegiskeep,IT / Technology,"The public vault design makes document-specific, expiring access a central feature.",aegiskeep-h2,Would permission-expiry test cases help verify that each intended recipient sees only the intended files?,Access-control scenarios matching the approved permission matrix,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A local test matrix covers permitted view, denied download, expired grant and revoked grant using fictional users.","This is a test plan, not a security certification; no live permission changes.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-aegiskeep | https://aegiskeep.com | https://www.aegiskeep.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
aegiskeep,Aegiskeep,IT / Technology,"The public vault design makes document-specific, expiring access a central feature.",aegiskeep-h3,Could explicit version links make replacement documents easier to distinguish from unrelated duplicates?,Ambiguous duplicate/version pairs remaining after review,pairs,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,A file-manifest comparison groups exact hashes separately from owner-confirmed version relationships.,Never delete or overwrite documents automatically; preserve source history.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-aegiskeep | https://aegiskeep.com | https://www.aegiskeep.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
aligned-strategy-partners,Aligned Strategy Partners,IT / Technology,"The site connects diagnosis, operating-model design and implementation through both partner-led and guided offerings.",aligned-strategy-partners-h1,Could one intake brief make the choice between partner-led support and guided tools clearer?,Intakes requiring clarification before owner-approved service routing,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A brief builder summarizes stated goals, available implementation time and requested support against published service descriptions.",Route recommendations remain editable and owner-confirmed; no invented client budget.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-aligned-strategy-partners | https://alignwithsp.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
aligned-strategy-partners,Aligned Strategy Partners,IT / Technology,"The site connects diagnosis, operating-model design and implementation through both partner-led and guided offerings.",aligned-strategy-partners-h2,Would a dependency-and-owner checklist make a client's next implementation step easier to identify?,Open roadmap steps without an owner or prerequisite,count,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A small roadmap validator flags missing owners, blocked prerequisites and undefined completion evidence.",Use the existing roadmap; do not create a parallel project system.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-aligned-strategy-partners | https://alignwithsp.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
aligned-strategy-partners,Aligned Strategy Partners,IT / Technology,"The site connects diagnosis, operating-model design and implementation through both partner-led and guided offerings.",aligned-strategy-partners-h3,Could a before-and-after time diary distinguish implementation benefits from changes in client workload?,Owner administrative minutes per comparable completed service unit,minutes/unit,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A baseline worksheet records repeated tasks, volume, exceptions and observed time before and after one agreed workflow change.",No claimed time or financial savings until comparable observations exist.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-aligned-strategy-partners | https://alignwithsp.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
amara-bitters,Amara Bitters,Healthcare,"A focused alcohol-free product range is supported by a shop, recipes and educational content.",amara-bitters-h1,Would a lot-and-expiry inventory view make small-batch replenishment easier to plan?,Orders delayed by unavailable stock,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A local inventory worksheet links SKU, lot, expiry, stock on hand and owner-entered lead time to a review-only reorder flag.",Use confirmed inventory; do not predict shelf life or product safety.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-amara-bitters | https://amara-bitters.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
amara-bitters,Amara Bitters,Healthcare,"A focused alcohol-free product range is supported by a shop, recipes and educational content.",amara-bitters-h2,Could an approved-answer library reduce repeated nonclinical questions about ordering and product formats?,Staff minutes spent on repeated shipping or product-format questions,minutes/week,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A source-linked reply library drafts answers only from owner-approved shipping, ingredients and product-format text.","Escalate medical, pregnancy, interaction and symptom questions; generate no treatment advice.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-amara-bitters | https://amara-bitters.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
